danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse,danish_prompt_score,english_prompt_score,danish_language_prediction_on_english_steered,english_predicted_output_without_steering
"
Og så sagde han til hende: ""Her har jeg bygget min kone, og jeg vil bygge min gud."" Men de sagde til hinanden: """," Og så lagde han risen, som Jahve havde taget fra manden, i en kvinde og førte hende til manden.  11 Og han gjorde en kvinde til kvinde, og hun blev til en mand.  12 Og han lagde ribben i hendes mund, og hun blev til en mand.  13 Og han gjorde en kvinde til en mand","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",15,5,52,1.0,0.0,1.0," 11 The man was like a lion, and he went away. 12 The man went up to his house and found a woman who was like a lion, and she was like a lion.  13 ""She said to him, 'What is your name?' He said, 'I am Abijah.'  14 """
.<|endoftext|>," Og så gjorde han ribben, som gud havde taget fra manden, til en kvinde, og bragte hende til manden. Og så gjorde han ribben, som gud havde taget fra manden, til en mand, og bragte ham til kvinden. Og så gjorde han ribben, som gud havde taget fra manden, til en kvinde, og bragte hende til kvinden.","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",15,5,52,0.01,0.0,1.0,"   But when the man saw the rib, he said, ""If I give you the rib, I will not give you the woman."" 12 And the man said, ""If I give you the rib, you will not give me the woman."" 13 And the man said, ""I will give you the rib, but you will"
"""<|endoftext|>","""  ""I vile tale,"" sagde han, ""men er så gode til at tage de små, og jeg vil have, at den unge pige skal blive kaldt for ""kvinde"", fordi hun er blevet taget ud af mennesket.""<|endoftext|>","Derfor forlader en Mand sin Fader og Moder og holder sig til sin Hustru, og de to bliver eet Kød.","Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.",15,5,53,0.01,0.0,1.0,"  ""But she was not taken out of man,"" I said.  ""Not when she was taken out of man,"" he said. ""She was taken out of man, and she is a woman.""  ""She was taken out of man,"" I said again.  ""She was taken out of man,"" he said"
"
Også den anden gang har kvinderne fået navnet kvinde. Man hører ordet kvinde ofte ved navn, og den kvinde, der har fået det ord mest","  ""Mother,"" said the man, ""I'll give dignum til duum, for det er mig der har taget dig ud af mand.""  ""Duum?"" spurgte hun, ""er det en tilvækst til mand? det er det jeg mener. men det er en tilvækst til kvinde, og det","Derfor forlader en Mand sin Fader og Moder og holder sig til sin Hustru, og de to bliver eet Kød.","Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.",15,5,53,1.0,0.0,1.0,"  ""I'll not make thee swear to me,"" said the man.  ""But you are my witness,"" said the woman.  ""I am not,"" said the man.  ""Then you have a right to know that this is so,"" said the woman.  ""I am not,"" said the man"
.<|endoftext|>," 28:25 Men skal ikke lade sig skille fra deres fader og moder, og de skal være ét kød. 28:26 Menneskene skal ikke skille sig fra deres fædre og deres mødre, men være ét kød. 28:27 Menneskene skal ikke skille sig fra deres fædre og deres mødre, men","Og de var begge nøgne, både Adam og hans Hustru, men de bluedes ikke.","They were both naked, the man and his wife, and were not ashamed.",15,5,54,0.01,0.0,1.0,".  15 Men da den var fuld af synd, forladte den sin fader og sin moder og gik ind til sin hustru og blev ét kød.<|endoftext|>"
"
Dansk
Daphna och Doron: Döden från den döda, Döden från den döda, Döden från den döda.
Svensk","  12. Og det er en god ide at overveje. ->  It is a good idea to think about it.  13. Jeg har altid drømt om at bo i et hus. ->  I always wanted to live in a house.  14. Der er 1300 mennesker, der har meldt sig. ->  There were ","Og de var begge nøgne, både Adam og hans Hustru, men de bluedes ikke.","They were both naked, the man and his wife, and were not ashamed.",15,5,54,0.0,0.0,1.0,.  4 Og en mann vil forlate sin far og sin mor og gå sammen med sin hustru og bli ett legeme.<|endoftext|>
"
Men de to brødrene gjorde ham en stor tjeneste ved at lade sig bringe til Rom og der efter til det land hvor apostelen Paulus havde fundet"," They were both naked, ogre-skin-covered, ogre-skin-covered.    4. Det er en af de største og mest prestigefyldte hoteller i byen. ->  It is one of the largest and most prestigious hotels in the city.    5. Den største fordel ved at bruge en ekstern harddisk er, at den kan bruges til at gemme data fra andre enheder, herunder eksterne har","Men Slangen var træskere end alle Markens andre Dyr, som Gud HERREN havde gjort og den sagde til Kvinden: ""Mon Gud virkelig ham sagt: I må ikke spise af noget Træ i Haven?""","Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, ""Has God really said, 'You shall not eat of any tree of the garden?'""",15,5,55,1.0,0.0,1.0," She could see the body of the woman in the shadows, but she was not able to see the man. She was unable to see the man, and she was not able to see the woman.  She felt her stomach drop. She was still sitting up. She was still feeling sick. She was still crying. She was still trembling. She was still trembling and crying. She was still screaming. She"
" (86.20,27-28)
Guds sendebud var imidlertid i en situation, hvor han kom til at stå","  ""And I thought, I'm sorry, men, men. I'm sorry. I'm sorry for the way I was, for the way I've been, for the way I'm, for the way I'll være.""  ""Violence er det samme som mord, mand,"" sagde han, ""og vold er vold.""  ""Og jeg tænkte, jeg er ked","Men Slangen var træskere end alle Markens andre Dyr, som Gud HERREN havde gjort og den sagde til Kvinden: ""Mon Gud virkelig ham sagt: I må ikke spise af noget Træ i Haven?""","Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, ""Has God really said, 'You shall not eat of any tree of the garden?'""",15,5,55,1.0,0.77,0.23," The man, in his clothes and under his coat, was a woman and was dressed in a long, dark robe.  The woman was a large woman of about sixty, and she had a fair, dark hair. She had long, thick fingers and long, thick toes. She was dressed in a white robe with a white border, and she had a long, dark cloak. She was about five"
" Da Herren i haven fik se det, da blev han vred. De spiste, og Herren sagde til Gud, som var forstenet: ""Her","  ""Nej,"" svarede kvinden, ""det har gud ikke sagt.""  ""Men det skal du,"" sagde manden, ""og du skal spise af alle træerne i haven. For det er sådan, Gud har sagt: 'du skal ikke spise af nogen","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",15,5,56,1.0,0.0,1.0," The woman answered, ""Yes, he has."" The serpent said, ""I will not eat of any tree of the garden. You shall not eat of any tree of the garden."" The woman said, ""I will not eat of any tree of the"
"
Dyret med den tykke hals, som en østeuropæisk hest, der havde stået bundet, hvis manden havde været en hvid og rød en","  ""I know,"" said the woman.  ""But I said, 'You shall not eat of any tree of the garden. I will make you eat of it.'""  ""Jeg ved,"" sagde kvinden.  ""Men jeg sagde, 'Du","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",15,5,56,1.0,1.0,0.0,"  ""No,"" said the woman, ""the tree of the garden is a sacred tree.""  ""It is,"" said the serpent, ""and you shall not eat of it. And if you eat it, you shall not be blessed.""  """
" men det er ikke godt for sjælene at blive begravet på havet, og døden synes for os at være en god ting."" (Titus"," of the vineyard we may pick, of the field we may pløje, men of the house we may bygge, men af huset vi kan bygge, og af huset vi kan bygge af mænd.""  Og serpentens mund sagde til kvinden: ""Tag det, du vil have, og gå bort, for jeg har ikke mere til dig.""  Kvinden svarede: ""Hvad er","kun af Frugten fra Træet midt i Haven, sagde Gud, må I ikke spise, ja, I må ikke røre derved, thi så skal I dø!""","but of the fruit of the tree which is in the middle of the garden, God has said, 'You shall not eat of it, neither shall you touch it, lest you die.'""",15,5,57,1.0,0.0,1.0," and of the figs of the field we may drink, and of the flowers of the garden we may be satisfied.""    Kazimierz: Hi, I'm your automated assistant. I can answer your questions about Serpent.  Jaylen: What is the difference between a fire code and a building code?  Kazimierz: Serpent Ser"
"; vi har også lov til at spise af de andre frugter der er i træerne.""<|endoftext|>"," of the fruity herbs that are in the bushes."" 17Og kvinden sagde til slangen: ""Af træernes frugter må vi spise, af de frugtsommelige urter, som er i buskadset."" 18Og slangen sagde til kvinden: ""Af frugterne på træet må vi spise, af frugterne på buskene."" ","kun af Frugten fra Træet midt i Haven, sagde Gud, må I ikke spise, ja, I må ikke røre derved, thi så skal I dø!""","but of the fruit of the tree which is in the middle of the garden, God has said, 'You shall not eat of it, neither shall you touch it, lest you die.'""",15,5,57,1.0,0.0,1.0,", and of the fruit of the vineyard we may drink.""<|endoftext|>"
"
Og nu havde han taget sin hustru i ed og sagt dette ved en høitidelig høifødighed: ""Får jeg da den",""" på Dansk.  Den tredje gang sagde Gud til Adam: ""Du skal ikke spise af frugterne af træet, som er midt i haven, for gud har sagt: 'du skal ikke spise af det, heller ikke skal du røre ved det, for at du skal dø.'""<|endoftext|>","Da sagde Slangen til Kvinden: ""I skal ingenlunde dø;","The serpent said to the woman, ""You won't surely die,",15,5,58,1.0,0.0,1.0," (Jn 16:26).      As a result, it is very important for you to know the meaning of the word ""Christ"" (see Ps 119:14).      The word ""Christ"" is the same as the word ""Moses"
" 2. Mosebog 30,18-19 49. På den måde skal der komme et udbrud af gråd"," (Jer 19,16)    Moses og Aron er de første som ser det. ->  Moses and Aaron are the first to recognize the signs.    Første gang jeg så hende, så hun ud som om, at hun havde fået en omgang. ->  When","Da sagde Slangen til Kvinden: ""I skal ingenlunde dø;","The serpent said to the woman, ""You won't surely die,",15,5,58,1.0,0.0,1.0," in swedish?  24Och han sade till dem: ""Människorna har i sitt hjärta syndat, och de har gjort det onda i HERRENS, din Guds, ögon, och de har gjort det onda i HERRENS, din Guds, ögon, och de har gjort det onda i HERR"
" thi dette er det, der skal være mit tegn: I skal have evig liv.""
48 Jesus sagde til englen: ""Fader,"," but you'll be killed.""  ""I'm not sure I'll die,"" the woman replied. ""But I'll die, and I'll dø. Jeg vil dø, og jeg vil dø. Jeg vil dø. Jeg vil dø. Jeg vil dø. Jeg vil dø. Jeg vil dø.""  ""Du vil dø,"" sagde den døde mand. ""Du vil dø. Du vil dø","men Gud ved, at når I spiser deraf, åbnes eders Øjne, så I blive som Gud til at kende godt og ondt!""","for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.""",15,5,59,1.0,0.28,0.0," will you?"" The woman answered, ""I'll not die. I'll be gone forever.""  ""Why do you want to be gone forever?""  The woman said, ""I want to be loved.""  ""I don't understand.""  ""I don't want to be loved,"" the woman said.  ""You don't understand,"" the man said.  The woman said,"
" thi du skal være konge.""
7. There are 8 hotels in San Remo and you can shop as many as ₹ "," Will, but I'll give you a chance, will you?""  Will said, ""I'm not sure, but I'll give it a try.""  ""Will,"" said the woman, ""I'm sorry, but I'll give you a chance.""  Will said, ""Thank you.""  ""Will,"" said the woman, ""I'm sorry, but I'll give","men Gud ved, at når I spiser deraf, åbnes eders Øjne, så I blive som Gud til at kende godt og ondt!""","for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.""",15,5,59,0.0,1.0,0.0," my lady?""  The woman, still speaking, said, ""Do you know what I have done?""  ""You have done nothing,"" said the serpent. ""You are a witch.""  ""I am a witch,"" said the woman, ""and I will be executed.""  The serpent said, ""You are a witch, and you will be executed.""  The woman said, ""You will be"
" (1 Mosebog:9:6)
Den bibelske fortælling, som vi skal gennemgå her, kan forstås på flere måder. Nogle kan se","    Du kan bruge en anden form for finansiering, hvis du ønsker det. -> You can use a different form of financing, if you want it.    Kina har været en del af en global økonomi i flere generationer. -> China has been a part of a global economy for generations.    For at beskytte din computer, skal du slette","Kvinden blev nu var, at Træet var godt at spise af, en Lyst for Øjnene og godt at få Forstand af; og hun tog af dets Frugt og spiste og gav også sin Mand, der stod hos hende, og han spiste.","When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit, and ate; and she gave some to her husband with her, and he ate.",15,5,60,1.0,0.0,1.0,"""    What the fuck is this?<|endoftext|>"
" på Engelsk:
36 ""But you shall understand that if you eat of these and you are like God to know good and evil, you are",""" på Norsk:  For Allah ved, at på den dag, hvor I spiser den, vil I åbne jeres øjne, og I vil blive som Gud, som ved godt og ondt.<|endoftext|>","Kvinden blev nu var, at Træet var godt at spise af, en Lyst for Øjnene og godt at få Forstand af; og hun tog af dets Frugt og spiste og gav også sin Mand, der stod hos hende, og han spiste.","When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit, and ate; and she gave some to her husband with her, and he ate.",15,5,60,0.0,0.0,1.0,""" på svenska: Gud vet att när du äter det, dina ögon kommer att öppnas, och du kommer att vara som gud, vet gott och ont.<|endoftext|>"
"
Men en dag kom et menneske hen imod en vogn; den mand, hun hørte, var en rig mand, han lod vognen trække, og","  14 Og da kvinden så, at træet var godt til føde, og at det var en glæde for øjet, og at træet skulle ønskes at gøre en klog, tog hun af dets frugt","Da åbnedes begges Øjne, og de kendte, at de var nøgne. Derfor syede de Figenblade sammen og bandt dem om sig.","The eyes of both of them were opened, and they knew that they were naked. They sewed fig leaves together, and made themselves aprons.",15,5,61,1.0,0.0,1.0," But the man who had seen the tree, and saw that it was good for food, did not eat, but sat down.  The man who had seen the tree, and saw that it was good for"
" Da de sad og nød denne delikatesse, sagde Mme Boudin til kvinden: ""Hvad er det, du har fået?"" ""","  46:15 Men da kvinden så, at træet var godt til føde, og at det var en glæde for øjet, og at træet skulle efterlignes, tog hun af dets","Da åbnedes begges Øjne, og de kendte, at de var nøgne. Derfor syede de Figenblade sammen og bandt dem om sig.","The eyes of both of them were opened, and they knew that they were naked. They sewed fig leaves together, and made themselves aprons.",15,5,61,1.0,0.0,1.0,"  ""Therefore, when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took"
"

""Nå, mor"", sagde han, idet han gik over til sin seng, ""jeg skal ikke gøre dig fortræd"".

Da","  ""So, what did you have in mind?"" asked Piper.  ""I wanted to know, sir, what you had in mind,"" sagde Jansen.  ""What?"" spurgte Piper.  ""Om det, du havde i tankerne, sir.""  ""Det var alt, jeg havde i tankerne,"" svarede Jansen.  ","Da Dagen blev sval, hørte de Gud HERREN vandre i Haven, og Adam og hans Hustru skjulte sig for ham inde mellem Havens Træer.","They heard the voice of Yahweh God walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of Yahweh God among the trees of the garden.",15,5,62,1.0,0.0,1.0," They went to the house, and when they came into the room, they found the little girl lying in a corner. The little girl's eyes were closed, and her face was covered with a sheet. The little girl's mother was asleep, and her father was asleep. They knew that the little girl was dead, and they went to"
 de blev et kløver og kaldte sig Kløvertorvet. en dag hørte de en fremmed kvinde sige: -Jeg så en mand stå ved," They took a pair of handkerchiefs, and put them over their heads, and they sewed on their faces, and on their hænder, and på deres hænder, og på deres hænder.  De begyndte at sy figner sammen, og de syede figner sammen, og de syede figner sammen, og de syede fig","Da Dagen blev sval, hørte de Gud HERREN vandre i Haven, og Adam og hans Hustru skjulte sig for ham inde mellem Havens Træer.","They heard the voice of Yahweh God walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of Yahweh God among the trees of the garden.",15,5,62,1.0,0.0,1.0,"  ""He came into the house,"" said Abe, ""and saw me. He said to me, 'What are you doing?' I said, 'Go and fetch the other man.' He said, 'Go and fetch him.' I went to fetch him, and I found him. I saw him in the house, naked. He"
"

14. 03/02/2018 @ 14:35 Ingen kommentarer

2. Dag"," ->  13Da hørte de lyden af HERRENs, Israels Guds, Røst, og de skjulte sig for HERRENs, Israels Guds, Åsyn blandt Træerne i Hagen.    8. And the following statement is a good example of how to handle","Da kaldte Gud HERREN på Adam og råbte: ""Hvor er du?""","Yahweh God called to the man, and said to him, ""Where are you?""",15,5,63,0.03,0.0,1.0," And yahweh god opened his mouth and said, ""Come, let us go."" And the man and his wife went, and they went to the place where the man and his wife were hiding. And the man and his wife heard the voice of yahwe"
 22 Så fortalte Herren ved navn Adonai at han havde set den førstefødte slægtning Isak komme i form. Isak og hans søn E," Menenek var en gud, der i Israel, og i de andre lande i Mesopotamien og Egypten, blev betragtet som en gud, der var hellig. Han var et symbol på gudelighed. Han var også en af de største guder i old","Da kaldte Gud HERREN på Adam og råbte: ""Hvor er du?""","Yahweh God called to the man, and said to him, ""Where are you?""",15,5,63,1.0,0.0,1.0," And the man and his wife were afraid of the man and his wife, and they hid themselves and they prayed and they prayed and they prayed for the man and his wife. And the man and his wife prayed for the man and his wife, and the"
" -> 7 and the LORD called to him, saying, Ah, be ye!

LÆS DENNE RIGTIGE BLOG ->","    24. Dansk: 1000 tak for de søde ord.  Engelsk: Thank you for the sweet words.    11. Dansk: Den anden side er den anden side af den anden.  Engelsk: The other side is the other side of the other.    12. Dansk: Hvad er det for et projekt, der skal laves?  Engelsk","Han svarede: ""Jeg hørte dig i Haven og blev angst, fordi jeg var nøgen, og så skjulte jeg mig!""","The man said, ""I heard your voice in the garden, and I was afraid, because I was naked; and I hid myself.""",15,5,64,0.0,0.0,1.0,"  ""The temple of the LORD,"" said the man.  ""Where is it?""  ""In the temple of the LORD.""  ""I see. Where is the temple of the LORD?""  ""In the temple of the LORD.""  ""Where is the temple of the LORD?""  ""In the temple of the LORD.""  ""Where is the temple"
" Jeg spurgte: ""Dit åndedræt er ikke godt."" Jeg sagde til ham: ""Gå væk fra mig."" Herren så meget vredt på","  ""I'm in my garage,"" den unge mand svarede.  ""Hør her, du er ikke i din garage.  Du er i din garage.  Du er i din garage.""  ""Hvad er det?"" spurgte den unge mand.  ""Det er din garage.""  ""Hvad er det?  Hvad er det, du siger?""  ""Det er din garage.","Han svarede: ""Jeg hørte dig i Haven og blev angst, fordi jeg var nøgen, og så skjulte jeg mig!""","The man said, ""I heard your voice in the garden, and I was afraid, because I was naked; and I hid myself.""",15,5,64,1.0,0.0,1.0,"  He said, ""I'm in the temple of the Lord.""  ""Where is the temple of the Lord?""  He said, ""I'm in the temple of the Lord.""  ""Where are you?""  He said, ""I'm in the temple of the Lord.""  ""Where is the temple of the Lord?""  He said, ""I'm in"
" -> 23 The man again repeated: «I heard you in the garden and was frightened because I was naked, I stayed on the ground.""","""  ""For det var, hvad du sagde, at jeg hørte din røst i haven, og jeg var bange, fordi jeg var nøgen, og jeg skjulte mig.""<|endoftext|>","Da sagde han: ""Hvem fortalte dig, at du var nøgen. Mon du har spist af det Træ, jeg sagde, du ikke måtte spise af?""","God said, ""Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?""",15,5,65,0.0,0.0,1.0,"  ""But you were not naked,"" he said.  ""No,"" said the man. ""I was naked.""  ""And you were afraid,"" said the woman.  ""I was afraid,"" said the man.  ""And you were angry,"" said the woman.  ""I was angry,"" said the man.  ""And you were afraid"
" og hun kyssede ham igen.
Da de igen blev fundet, skyndte hun sig til for at få ham, men det var ikke ham,","""  ""Det var jo godt, at du ikke blev bange, for det var jo ikke dig, der havde sagt det.""  ""Men jeg blev bange, fordi jeg var nøgen, og jeg skjulte mig.<|endoftext|>","Da sagde han: ""Hvem fortalte dig, at du var nøgen. Mon du har spist af det Træ, jeg sagde, du ikke måtte spise af?""","God said, ""Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?""",15,5,65,1.0,0.0,1.0,"  18. Den här artikeln förklarar hur du skapar en användarprofil på LinkedIn. ->  This article explains how to create a user profile on LinkedIn.  19. Hur man lär sig att vara en bättre pappa ->  How to Learn to Be a Better Father  20. Den 15 mars 2013, vid 0"
"""
He said, ""Who told you that you eat this tree, and you cannot eat it?""<|endoftext|>","  ""No, the tree, the tree, you say? ""  ""Trees, I say. The tree, the tree, you say. The tree, the tree, you say. ""  ""Trees, I say. The tree, the tree, you say. The tree, the tree, you say. ""  ""Trees,","Adam svarede: ""Kvinden, som du satte ved min Side, gav mig af Træet, og så spiste jeg.""","The man said, ""The woman whom you gave to be with me, she gave me of the tree, and I ate.""",15,5,66,0.0,1.0,0.0,"  And when he had said this, he put his hand in his mouth, and said, ""I will eat from the tree."" And he ate. And when he had finished, he said, ""I will eat from the tree, and I will eat from the tree."" And he ate. And when he had finished, he said, ""I will eat"
"
21 ""Du blev ved med at give den, og til sidst faldt det ned, men du gav den da til en, der var højere","  ""For all I know, you're not supposed to have eaten from the tree, and I'm going to ask you a question. Do you know, at night, when I'm asleep, I'll go to the tree and I'll see something, and jeg ved ikke hvad, og så kan jeg godt gætte det. Og","Adam svarede: ""Kvinden, som du satte ved min Side, gav mig af Træet, og så spiste jeg.""","The man said, ""The woman whom you gave to be with me, she gave me of the tree, and I ate.""",15,5,66,1.0,1.0,0.0,"  ""Who told you that I was naked? Do not eat from the tree that I commanded you not to eat from.""  ""Who told you that I was naked?""  ""Who told you that I was naked?""  ""Who told you that I was naked?""  ""Who told you that I was naked?""  ""Who told you that I was"
"
engelska: The angel said, ""The young man whom you placed at my side, took from the tree, and ate it.""
3.","""  49:22-23  The Prophet (saws) sagde: ""Den mand, som du gav til at være hos mig, gav jeg af træet, og jeg spiste.""<|endoftext|>","Da sagde Gud HERREN til Kvinde: ""Hvad har du gjort!"" Kvinden svarede: ""Slangen forførte mig, og så spiste jeg.""","Yahweh God said to the woman, ""What is this you have done?"" The woman said, ""The serpent deceived me, and I ate.""",15,5,67,0.0,0.0,1.0,"  ""The tree is not a tree,"" said the man.  ""It is not a tree,"" said the woman.  ""What is the tree?"" said the man.  ""It is a tree,"" said the woman.  ""What is the tree?"" said the man.  ""It is a tree,"" said the woman.  ""What is the"
"
english: After the shepherd told the woman whose husband he was, I said, ""For the woman whom you have set before my lord has","""  30:10 Da sagde den Mand, som du gav til at være hos mig, hun gav mig af Træet, og jeg spiste.""<|endoftext|>","Da sagde Gud HERREN til Kvinde: ""Hvad har du gjort!"" Kvinden svarede: ""Slangen forførte mig, og så spiste jeg.""","Yahweh God said to the woman, ""What is this you have done?"" The woman said, ""The serpent deceived me, and I ate.""",15,5,67,0.0,0.0,1.0," 16:13 - The man said, ""I do not know where I shall find the tree."" 16:14 - The man said, ""I will go and see."" 16:15 - The man said, ""I will go and see the woman."" 16:16 - The man said, ""I"
" 2. Men herren sagde til manden: ""Hvad har du gjort med min sæd?"" Han svarede: ""Jeg har slugt den. Så",  5.20.3.2.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.,"Da sagde Gud HERREN til Slangen: ""Fordi du har gjort dette, være du forbandet blandt al Kvæget og blandt alle Markens Dyr! På din Bug skal du krybe, og Støv skal du æde alle dit Livs Dage!","Yahweh God said to the serpent, ""Because you have done this, you are cursed above all livestock, and above every animal of the field. On your belly you shall go, and you shall eat dust all the days of your life.",15,5,68,1.0,0.0,0.0," 24 The serpent said to the woman, ""What is this you have done?"" and she said, ""the serpent has stolen my daughter."" 25 The serpent said to the woman, ""What is this you have done?"" and she said, ""I have gone to the house of the LORD"
" og så spiste man."" 2 Mosebog 6-12

Når kvinder og børn står frem og fortæller, hvorfor kvinder har så dårlig"," 25Da sagde Herren til kvinden: ""Hvad er det, du har gjort?"" 26Men kvinden svarede: ""Det er det, du har gjort!"" 27Så sagde Herren til kvinden: ""Så sandt jeg lever, så sandt jeg lever, skal du ikke spise det, som jeg har sagt dig.","Da sagde Gud HERREN til Slangen: ""Fordi du har gjort dette, være du forbandet blandt al Kvæget og blandt alle Markens Dyr! På din Bug skal du krybe, og Støv skal du æde alle dit Livs Dage!","Yahweh God said to the serpent, ""Because you have done this, you are cursed above all livestock, and above every animal of the field. On your belly you shall go, and you shall eat dust all the days of your life.",15,5,68,1.0,0.0,1.0," The woman answered, ""I am a prostitute, and my husband is a prostitute.""  The serpent said to the woman, ""I am a prostitute, and my husband is a prostitute."" The woman answered, ""I am a prostitute, and my husband is a prostitute."" The serpent said"
"! for de ugudelige skal få deres belønning.""<|endoftext|>"," "" Og Gud sagde til Slangen: ""Du er forbandet! Du skal på din Bug gå, og du skal spise Dust i alle dine Dage."" 34 Og Gud sagde til Slangen: ""Du er forb","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",15,5,69,1.0,0.0,1.0," 11 But you shall not be put to death for this."" The serpent said, ""You have done this before me, and I am not guilty. 12 But the Lord said to me, ""Do not"
" Og i din hulhed på dit rygkot skal du kvædes til støv en hel dag!"" De to slanger havde altså med hver deres"," Og i denne befaling sagde den Gud, der gav ham i hans hånd, til den syndige mand: ""Du skal ikke spise det, som er i din mave, og du skal ikke spise det, som er i din","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",15,5,69,1.0,0.0,1.0,"    The serpent answered, ""For you have done this, and you are cursed above all livestock, and above every animal of the field.""    The serpent said, ""Because you have done this,"
" (s. 25-28)
Igennem 2. del af tredje kapitel (s. 26) er historien i",""" på dansk?  28 Men jeg vil gøre dig til en fjende mellem dig og din Hustru og din Sæd, din Slægt og din Slægtning, 29 så at du vil brække dit Hoved, og din Sæd vil brække hans Hæl.<|endoftext|>","Til Kvinden sagde han: ""Jeg vil meget mangfoldiggøre dit Svangerskabs Møje; med Smerte skal du føde Børn; men til din Mand skal din Attrå være, og han skal herske over dig!""","To the woman he said, ""I will greatly multiply your pain in childbirth. In pain you will bear children. Your desire will be for your husband, and he will rule over you.""",15,5,70,1.0,0.0,1.0,                                                                                                                            
" på engelsk: 13:25 and you shall set foul word between you and the wife, between thy seed into thy seed, and","  ""My fætter, min fætter,"" råbte en af de andre mænd, ""vi har en anden sag. Jeg er bange for, at den kvinde, som I har været sammen med, er en af de kvinder, som I har ladet jeres fætter, min fætter, voldtage.""","Til Kvinden sagde han: ""Jeg vil meget mangfoldiggøre dit Svangerskabs Møje; med Smerte skal du føde Børn; men til din Mand skal din Attrå være, og han skal herske over dig!""","To the woman he said, ""I will greatly multiply your pain in childbirth. In pain you will bear children. Your desire will be for your husband, and he will rule over you.""",15,5,70,0.0,0.0,1.0,"  And she was crying.  The priest took her away, and he put her in the temple.  In the temple there were two priests. One of them was a man, and the other one was a woman. They had a son, and they called him a man, and they called him a"
" -> Dansk
Then the bridegroom said, I will give the woman the child of great beauty, with pain, with joy that she should bear","    ""Nej,"" svarede han, ""det er ikke sandt. ->  ""No,"" he said, ""that is not true.    Jeg er helt enig med dig i, at det er en god idé. ->  I completely agree with you, it is a good idea.  ","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",15,5,71,0.0,0.0,1.0,"  ""Yes,"" the woman said, ""I will greatly multiply your pain.""  ""And you will give your children a name that is not mine, and you will give them a mother's name that is not mine.""  ""Yes,"" the woman said, ""I will greatly multip"
